epoch,lr,loss,iou,val_loss,val_iou,ce_loss,dice_loss,mse_loss,kl_loss
0,0.0001,31.68302372429106,0.3592881718287891,0.8870764061808586,0.530718888957481,1.7404821930187089,0.6536371292812484,27.97375875959794,267.757502661811
1,0.0001,2.588012812866105,0.6122520815446417,0.7458951488137245,0.6354892869265883,0.4088296464511326,0.3966771252453327,0.6257062260475423,205.45493994818793
2,0.0001,2.1281088441610336,0.7115412193331739,0.6677431583404541,0.7107932474839627,0.3230001971125603,0.296464108924071,0.3541429411205981,202.13845210605197
3,0.0001,1.8536703238884609,0.7697266687938875,0.4173285573720932,0.8114658587129802,0.2840195574930736,0.23708317003079823,0.26171165766815346,200.4517084757487
4,0.0001,1.7379597889052496,0.8104034876022198,0.372898330539465,0.8304300561726341,0.22574670185319712,0.19474996308811376,0.21826322687168917,199.6891941494412
5,0.0001,1.6758709284994338,0.8129910318221416,0.3687880292534828,0.8397085504895339,0.2230548456311226,0.1913729762037595,0.17884233883685535,198.43892288208008
6,0.0001,1.5588020582993825,0.8519340764133857,0.31931107118725777,0.866876873534667,0.20893204813463645,0.15229320682977376,0.16253994984759224,197.94533644782172
7,0.0001,1.5050991773605347,0.8642229782721549,0.3355575308203697,0.8452516116626467,0.17979143218973936,0.13965599516690788,0.14159505669441488,197.45887841118707
8,0.0001,1.4715441697173648,0.8720843100401854,0.3121255025267601,0.8652426814275123,0.17671661618454704,0.13188991361650929,0.13032623773647678,197.2747196621365
9,0.0001,1.4063820077313318,0.8791092856362209,0.27611597776412966,0.8810612995668506,0.16547517267600545,0.12432655804562119,0.11636193448470698,197.0351331498888
10,0.0001,1.4492181936899822,0.8679451697698847,0.3203800320625305,0.8611550790939637,0.1687019986368842,0.1354959874840106,0.10486344951722357,196.80999755859375
11,0.0001,1.4058827261130016,0.8829805501997595,0.24826487004756928,0.8948812062395503,0.150535703326265,0.12022254268328349,0.09812712131275071,196.38765864902072
12,0.0001,1.3322321209642622,0.8995259669009196,0.2535870298743248,0.8933230549041831,0.13585955690253865,0.10312962315299294,0.09031819779839781,196.11463758680554
13,0.0001,1.325050350692537,0.9008936621541715,0.26197651252150533,0.8880305936935541,0.1282181428712711,0.10165564689719886,0.08395502095421155,195.7269090016683
14,0.0001,1.329169973731041,0.9047394244765952,0.26640541702508924,0.8785931944965807,0.12893408231559347,0.09754716861443441,0.07696003451322515,195.53717676798502
15,0.0001,1.3056548072232141,0.9048932989072854,0.23918748944997786,0.8959731785346341,0.1275628015660403,0.09741194415510747,0.07242184442778428,195.6020367940267
