epoch,lr,loss,iou,val_loss,val_iou,ce_loss,dice_loss,mse_loss,kl_loss
0,0.0001,21.54424867347667,0.34323525789958265,0.9133079349994659,0.5583398651028906,1.3996599627037842,0.6702278022964795,18.08538914354224,259.12208958675984
1,0.0001,2.3826034759220325,0.631799637268655,0.7436908125877381,0.6454242192090005,0.36459033114129097,0.3785661227744201,0.5096519154153372,203.38002817254318
2,0.0001,1.9319624555738348,0.7588746254442857,0.48195029273629186,0.7873241089096286,0.26226983133886683,0.24883555877404134,0.3201630205700272,200.3693689045153
3,0.0001,1.6698159308809983,0.8269176903784137,0.43861355632543564,0.8042458973854867,0.20820151471485526,0.17789573740150968,0.23734049185326225,198.92775766473068
4,0.0001,1.5747705243135754,0.8511617504571046,0.3793710216879845,0.8309241444409977,0.17452143657891478,0.15304945238301013,0.19748301431536674,198.30529504073294
5,0.0001,1.4816575285635496,0.8713718830716641,0.35429094880819323,0.8515314289420746,0.15640117632130446,0.13221592519242883,0.1648170806859669,198.02823036595396
6,0.0001,1.4266174466986405,0.8848069014766049,0.3349007502198219,0.8553817884331103,0.13761101125693712,0.11823098630201621,0.1401532239427692,197.24429040206107
7,0.0001,1.3721775883122493,0.8935894038316343,0.3998752824962139,0.8369204730772981,0.13512655857362246,0.10927966237068176,0.12299384225748088,196.7838712993421
8,0.0001,1.3775870737276579,0.8911127451707376,0.4441856764256954,0.8251825619221389,0.13369720441396118,0.11170566228569531,0.10882837609633018,196.42642673693206
9,0.0001,1.3586160226872093,0.8901172200495883,0.3143175758421421,0.8691339831094783,0.12838100730362584,0.11238868963920463,0.10316352654052408,196.2580172890111
10,0.0001,1.2890522056504299,0.9090954167383082,0.3345675185322762,0.8585144937712291,0.11363289532336322,0.09322594566778704,0.09209743906792842,195.95763377139443
11,0.0001,1.3099402722559477,0.9087308688300393,0.31464787647128106,0.8629481926493673,0.1111484697413823,0.09348815632244897,0.08412991890585736,195.736126347592
12,0.0001,1.2737863126553988,0.9124178457997455,0.29753950908780097,0.8696445051655083,0.10119630326911555,0.08960226582268536,0.07845870626011961,195.52960666857268
13,0.0001,1.252778428165536,0.914173195600313,0.26911562532186506,0.8950600521757444,0.09732921460741445,0.087777480744479,0.07229229969609725,195.16460338391755
14,0.0001,1.253052946768309,0.9182647938673255,0.3266876436769962,0.8701147322597219,0.09133256899733697,0.08354111929093638,0.06677617902230275,195.09294048108552
15,0.0001,1.244596164477499,0.9174883402303903,0.2931069180369377,0.879297779720645,0.09617212737600009,0.08416241506735483,0.06153785726545673,194.8489879808928
16,0.0001,1.2302141707194478,0.9200544836059272,0.2957816570997238,0.8775046645710816,0.08768055588006973,0.08146053999662399,0.05865210902534033,194.74373787327818
17,0.0001,1.2333549245407707,0.9195153456220719,0.29494171813130377,0.871805935133842,0.08669526041263625,0.08202868841943287,0.05368758973322416,194.3613221017938
18,0.0001,1.2313792125174874,0.9187794354948019,0.26984519734978674,0.8805775134568637,0.09077956833906713,0.08290713977429175,0.0503772562859874,194.3350840116802
19,0.0001,1.2040672474785854,0.9181597237161507,0.3074593685567379,0.8735599820285147,0.08092917926740228,0.08319857298282154,0.047704237954396954,194.17365746749076
20,0.0001,1.1839132795208378,0.9270773700511928,0.3104469083249569,0.8673184138532004,0.07591449822250165,0.07437267481235035,0.04573329489089941,193.93702376516242
